Vendor Name	ENFOUR, INC.
Start Date	09/29/2024
End Date	11/02/2024
Transaction Date	Settlement Date	Apple Identifier	SKU	Title	Developer Name	Product Type Identifier	Country of Sale	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Customer Price	Customer Currency	Sale or Return	Promo Code	Order Type	Region
10/02/2024	10/12/2024	475665993	jp.co.enfour.ahd5.ahd5dict	AHD5 InApp activation - Activates the AHD5 dictionary		IA1	CA	1	16.95	16.95	CAD	19.990	CAD	S			AB	
10/25/2024	10/25/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	1F	CH	1	14.15	14.15	CHF	18.000	CHF	S				
10/23/2024	10/23/2024	317804594	N4_UD_SYN	Companion Synonyms	Enfour, Inc.	1F	CH	1	1.57	1.57	CHF	2.000	CHF	S				
09/29/2024	10/07/2024	475665993	jp.co.enfour.ahd5.ahd5dict	AHD5 InApp activation - Activates the AHD5 dictionary		IA1	CH	1	11.01	11.01	CHF	14.000	CHF	S				
10/08/2024	10/09/2024	284965601	HMAHD4.1.0	American Heritage® Dictionary	Enfour, Inc.	1F	CN	1	74.13	74.13	CNY	88.000	CNY	S				
10/30/2024	10/30/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	CN	1	32.01	32.01	CNY	38.000	CNY	S				
10/26/2024	10/26/2024	286861782	HMRT.1.0	Roget's II: New Thesaurus	Enfour, Inc.	1F	CN	1	32.01	32.01	CNY	38.000	CNY	S				
10/21/2024	10/22/2024	304875834	AH_Deluxe	American Heritage® Deluxe	Enfour, Inc.	1F	CN	1	99.41	99.41	CNY	118.000	CNY	S				
10/24/2024	10/25/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	F1	CN	1	107.83	107.83	CNY	128.000	CNY	S				
10/30/2024	10/30/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	F1	CN	1	107.83	107.83	CNY	128.000	CNY	S				
10/31/2024	10/31/2024	307233030	OX_ODE_DELUXE	Oxford Deluxe (ODE and OTE)	Enfour, Inc.	F1	CN	-1	107.83	-107.83	CNY	-128.000	CNY	R				
10/27/2024	10/28/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	F1	CN	1	141.53	141.53	CNY	168.000	CNY	S				
10/12/2024	10/13/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	CN	2	141.53	283.06	CNY	168.000	CNY	S				
10/18/2024	10/19/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	F1	CN	1	141.53	141.53	CNY	168.000	CNY	S				
10/20/2024	10/20/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	F1	CN	1	141.53	141.53	CNY	168.000	CNY	S				
10/16/2024	10/17/2024	316133247	LP_LDOCE_5	LDOCE	Enfour, Inc.	1F	CN	1	141.53	141.53	CNY	168.000	CNY	S				
